단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha,경도,위도
화랑타운아파트,84.65,3,2000,화랑로51길 17,6.799963510689324,20,2020-07-11,1.0,127.089350927229,37.6230767984832
우방,59.91,3,2002,금하로 750,6.587672780980942,18,2020-07-11,1.0,126.913658594513,37.4490734382987
강일리버파크8단지,84.83,12,2009,아리수로94길 72,6.9085801184797955,11,2020-07-11,1.0,127.176269561148,37.5607222959713
강일리버파크5단지,59.87,3,2009,아리수로97길 20,7.146313074331207,11,2020-07-11,1.0,127.178137155501,37.5685142719635
북한산힐스테이트7차,84.813,3,2011,통일로 796,7.146656030209363,9,2020-07-11,1.0,126.925757582129,37.616343199117
신사동한신휴플러스,114.49,1,2003,갈현로1길 31,6.286304970858888,17,2020-07-11,1.0,126.906165846343,37.5987361682017
프레미어스엠코,76.66,25,2013,망우로 353,7.005126753392856,7,2020-07-11,1.0,127.091624142481,37.5983328190955
라이프미성,125.75,15,1988,통일로 780,6.606058963155545,32,2020-07-11,0.0,126.928432696242,37.6158621924384
송파파인타운3단지,84.98,7,2008,충민로 152,7.165819710087888,12,2020-07-11,1.0,127.131834041645,37.4834422171547
송파파인타운3단지,84.93,8,2008,충민로 152,7.166408256982635,12,2020-07-11,1.0,127.131834041645,37.4834422171547
흑석한강센트레빌Ⅱ,84.99,18,2012,서달로 91,7.370496454910032,8,2020-07-11,1.0,126.958890979647,37.5031656177406
코오롱하늘채,123.2858,8,2003,갈현로29길 62,6.305377639583617,17,2020-07-11,1.0,126.910915159001,37.6233603600771
구로현대,63.98,3,1992,디지털로 319,6.774536435195914,28,2020-07-11,0.3523601479241498,126.895432921379,37.4900377520776
남해오네뜨,59.958,9,2002,사당로2가길 173,6.985416565232659,18,2020-07-11,1.0,126.965674646209,37.4870204798096
서초포레스타2단지,84.48,5,2015,헌릉로8길 45,7.338774909479768,5,2020-07-11,1.0,127.06254658465,37.4546898457894
장안힐스테이트,114.958,14,2007,장안벚꽃로1길 7,6.84809358872525,13,2020-07-11,1.0,127.074572635161,37.5763379008361
옥수파크힐스101동~116동,84.3,3,2016,매봉길 50,7.516798530893574,4,2020-07-11,1.0,127.01218936757,37.5472989077685
사당휴먼시아,59.96,1,2009,사당로16길 96,7.062572847797099,11,2020-07-11,1.0,126.970140515548,37.4794961082029
삼성래미안,59.9843,8,2004,매봉로 123,7.313482087997664,16,2020-07-11,1.0,126.949866584084,37.5101431194272
샹그레빌아파트,79.248,2,2004,회기로5길 100,6.578224370970806,16,2020-07-11,1.0,127.041014128752,37.5952675232816
세곡푸르지오,84.84,8,2012,자곡로 21,7.39424183444286,8,2020-07-11,1.0,127.093264549075,37.4673466520187
당산어울림2차,84.9651,1,2009,양산로17길 22,6.8963314938848574,11,2020-07-11,1.0,126.894179394792,37.5264003653606
돈암동 풍림아파트 101~105동,114.41,4,1999,북악산로 913,6.342354061164921,21,2020-07-11,0.9965784284662088,127.022954666928,37.5965594834136
태강아파트(아이파크),49.6,8,1999,공릉로34길 62,6.6926438993651916,21,2020-07-11,1.0,127.082122210605,37.6233646903823
거여1단지,49.8,2,1997,양산로8길 8,7.255353004769753,23,2020-07-11,1.0,127.144566964221,37.4909161360666
금호어울림(580),84.93,3,2006,양원역로 18,6.551904203741803,14,2020-07-11,1.0,127.108648043621,37.6027743133849
정릉2차e-편한세상,114.35,11,2009,북악산로 851,6.722368250113888,11,2020-07-11,1.0,127.018315403612,37.6002510241826
정릉2차e-편한세상,59.37,6,2009,북악산로 851,7.028658850090519,11,2020-07-11,1.0,127.018315403612,37.6002510241826
한신휴2차,59.89,8,1999,디지털로69길 12,6.8152796154566255,21,2020-07-11,1.0,126.904595236741,37.4951962024245
방화5,39.6,13,1994,금낭화로 287-19,6.8638772728100825,26,2020-07-11,1.0,126.810286852537,37.5768038501964
에스케이북한산시티,84.92,8,2004,솔샘로 174,6.670738261538048,16,2020-07-11,1.0,127.010599691076,37.6176383628418
마곡13단지힐스테이트마스터,59.9825,9,2017,마곡중앙1로 71,7.362302260469395,3,2020-07-11,1.0,126.817874559596,37.5569083220092
은천2단지아파트,59.93,10,2000,인헌12길 46-1,6.908922626734144,20,2020-07-11,1.0,126.964563654363,37.4706668327352
에스케이북한산시티,84.76,16,2004,솔샘로 174,6.785419659118349,16,2020-07-11,1.0,127.010599691076,37.6176383628418
신촌럭키,83.38,12,1999,이화여대길 50-12,7.078456045158153,21,2020-07-11,1.0,126.946519557644,37.5594539604684
신촌럭키,59.7,6,1999,이화여대길 50-12,7.10200982044421,21,2020-07-11,1.0,126.946519557644,37.5594539604684
양평현대6차,84.94,19,2000,선유로 207,6.964508095574587,20,2020-07-11,1.0,126.893794724164,37.5320074914911
극동,59.67,1,2000,북악산로29길 67,6.779739067045725,20,2020-07-11,1.0,127.033429695895,37.5949156452425
에스케이북한산시티,59.98,25,2004,솔샘로 174,6.956878832052807,16,2020-07-11,1.0,127.010599691076,37.6176383628418
강남한양수자인(4단지),59.99,1,2014,자곡로 260,7.629818553385167,6,2020-07-11,1.0,127.111752118301,37.4765634437989
삼성래미안,109.651,16,2004,디지털로31길 90,6.70915062571036,16,2020-07-11,1.0,126.892053534527,37.4887303243884
목동센트럴아이파크위브2단지,59.68,16,2020,남부순환로83길 18,7.351357816239887,0,2020-07-11,1.0,126.841904694765,37.5156181424306
성내동삼성아파트,114.93,26,1999,풍성로 128,7.023244435963142,21,2020-07-11,1.0,127.125981133302,37.5299439507419
한신휴플러스,114.91,8,2004,매봉로 99,6.798335053942231,16,2020-07-11,1.0,126.949130340547,37.5092074718276
새솔금호,84.89,5,1996,공원로 35,6.49175066896741,24,2020-07-11,0.9400879436282181,126.890520884986,37.5001619663469
상계주공2(고층),58.01,4,1987,동일로215길 23,6.933116182055748,33,2020-07-11,0.0,127.059109039116,37.6504272951639
상계주공2(고층),41.3,15,1987,동일로215길 23,6.922178605943242,33,2020-07-11,0.0,127.059109039116,37.6504272951639
금호,59.96,17,1997,공원로 26,6.490378277654816,23,2020-07-11,1.0,126.892109038117,37.4999033071437
한신아파트,129.66,1,1991,한내로 62,6.209504863037014,29,2020-07-11,0.2069817788542983,126.888877618767,37.4553912730949
북한산힐스테이트1차아파트,59.817,1,2009,불광로2길 33,6.975348460848937,11,2020-07-11,1.0,126.935473714353,37.6128212718274
삼환,59.4,22,1995,남부순환로95길 54,6.803142706515499,25,2020-07-11,1.0,126.854710644734,37.4950348315458
현대강변,82.68,10,1991,자양로3가길 43,7.00363705068542,29,2020-07-11,0.033333333333333326,127.085692023782,37.528550707647
동아,83.09,4,1995,양녕로23길 43,6.495164106537718,25,2020-07-11,0.6812438068750564,126.940038867546,37.4961816036892
코오롱,59.94,12,1998,도영로 2-5,7.138543873348599,22,2020-07-11,1.0,126.894325000374,37.5071427244647
한솔애리즈202동,111.96,3,2004,풍성로 202,6.423720118932144,16,2020-07-11,0.7396491670032062,127.134199662446,37.5292952772288
마곡13단지힐스테이트마스터,84.9805,6,2017,마곡중앙1로 71,7.269354505308687,3,2020-07-11,1.0,126.817874559596,37.5569083220092
현대2차,80.92,10,1990,선유동2로 29,6.989355767323663,30,2020-07-11,0.0,126.895879717489,37.5324321877995
삼성래미안,78.665,21,2004,디지털로31길 90,6.924583583963632,16,2020-07-11,1.0,126.892053534527,37.4887303243884
공릉동한보에센시티아파트,59.4,15,2000,공릉로46길 19,6.705024850556975,20,2020-07-11,1.0,127.080130818232,37.6279055006749
등촌5차보람쉬움,84.97,1,2004,공항대로61길 43,6.699563530563947,16,2020-07-11,0.9333333333333333,126.865899858171,37.55294445675
이편한세상보문,84.904,7,2013,낙산길 255,6.9638190478307695,7,2020-07-11,1.0,127.015625442683,37.5827783807236
현대2,79.79,1,1988,풍성로65길 34,6.959173894505261,32,2020-07-11,0.0,127.140482311624,37.5294723158346
경남,59.96,6,1999,영등포로 351,7.090743724763795,21,2020-07-11,1.0,126.918031063934,37.5153110458501
이수힐스테이트,84.982,3,2013,동작대로39길 22,7.4420495520435885,7,2020-07-11,1.0,126.981965983395,37.4946359814369
현대,84.99,15,2001,개봉로20길 6,6.824491324022867,19,2020-07-11,1.0,126.859308079005,37.4928802334449
상계주공7(고층),41.3,10,1988,동일로 1456,7.217587314160795,32,2020-07-11,0.0,127.061495568943,37.660676910032
현대,84.81,11,1994,용마산로 252,6.664543766270337,26,2020-07-11,0.8453133337179497,127.089222458333,37.5751759965089
개봉동현대아이파크,59.99,18,2006,개봉로2길 133-15,7.08606814492271,14,2020-07-11,1.0,126.860070762208,37.4895036252786
강동역두산위브센티움,59.96,9,2004,성안로 155,6.954032679221893,16,2020-07-11,1.0,127.134753056136,37.537187050149
해태,84.65,7,2000,방화대로 259,6.628113253762664,20,2020-07-11,1.0,126.815248096942,37.5635549411897
행당한진타운,59.96,21,2000,행당로 82,7.352039042042382,20,2020-07-11,1.0,127.027399715208,37.5548088817349
롯데캐슬파크,58.491,9,2003,성수일로8길 47,7.530230264962849,17,2020-07-11,1.0,127.055595974906,37.5467864846037
코오롱아파트,84.95,4,1991,오금로31길 28,7.210624559227446,29,2020-07-11,0.2399890781612121,127.124290799481,37.5089465247022
현대슈퍼빌,185.02,12,2003,서초중앙로 15,7.024829431340282,17,2020-07-11,1.0,127.015641614311,37.4830108887405
남산타운,84.88,18,2002,다산로 32,7.278701140048827,18,2020-07-11,1.0,127.005706247221,37.5471505540187
래미안송파파인탑,64.99,15,2012,오금로32길 31,7.6461767528119315,8,2020-07-11,1.0,127.119488892903,37.5029836751039
가락삼익맨숀,108.338,11,1984,오금로32길 5,7.265924426244463,36,2020-07-11,0.0,127.122478363524,37.5048868696507
광남캐스빌3,83.19,2,2004,성내로6가길 98,6.575960151084897,16,2020-07-11,0.4666666666666667,127.127057389457,37.5260118193186
용마산하늘채,84.6147,11,2015,용마산로 210,7.123607618756558,5,2020-07-11,1.0,127.087082579511,37.5719685219483
유한수목원,74.61,6,2008,경인로2길 51,6.150828793988127,12,2020-07-11,1.0,126.826042361991,37.4883358573834
다성이즈빌(121-32),44.24,5,2017,성안로 195,6.720902676828582,3,2020-07-11,0.9,127.136489525473,37.5404273928182
다성이즈빌(121-32),63.93,6,2017,성안로 195,6.661989549631648,3,2020-07-11,0.9,127.136489525473,37.5404273928182
한숲마을대림,59.94,9,1999,방화대로50길 7,6.724432219851093,21,2020-07-11,1.0,126.817474137533,37.5768121185005
LIG건영캐스빌,55.6724,17,2002,우이천로20길 7,6.738418368235093,18,2020-07-11,1.0,127.034771563448,37.6417332058849
한숲마을대림,59.69,11,1999,방화대로50길 7,6.758228949262698,21,2020-07-11,1.0,126.817474137533,37.5768121185005
방화그린,49.77,4,1993,방화대로48길 40,6.713914952815982,27,2020-07-11,0.6768184324776925,126.820167898164,37.5742556295155
길음뉴타운8단지(래미안),59.99,10,2010,길음로 33,7.3461768904703915,10,2020-07-11,1.0,127.022078590713,37.6050832927232
신성미소지움,80.1913,12,2004,용마산로86길 9-27,6.609316561348495,16,2020-07-11,1.0,127.096060534833,37.5873662061942
방화그린,39.76,6,1993,방화대로48길 40,6.721401458660244,27,2020-07-11,0.7592457037268079,126.820167898164,37.5742556295155
방화그린,33.6,2,1993,방화대로48길 40,6.743133299287583,27,2020-07-11,0.6906890595608517,126.820167898164,37.5742556295155
은평뉴타운 제각말 푸르지오(5-1단지),101.83,6,2010,연서로48길 12,6.678899677471001,10,2020-07-11,1.0,126.935928308893,37.6371422182011
청솔,49.2,1,1994,방화대로47길 55,6.688162327390951,26,2020-07-11,0.8500052575129231,126.812403019177,37.5759401162097
리베르떼-빌(LibertVille),242.39,-1,2002,연희로10길 43-16,6.002174758433937,18,2020-07-11,0.6339850002884625,126.933657569681,37.5650037889156
