단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha
휴먼빌,59.943,4,2004,방울내로 31,1106.0507482108003,16,2020-07-11,1.0
뉴타운,62.73,10,1998,오목로 172,473.45767575322816,22,2020-07-11,0.2666666666666667
영진,80.81,9,1998,서초대로23길 64,1163.2223734686302,22,2020-07-11,0.2666666666666667
SKVIEW,84.98,5,2006,경인로 638,1093.1983996234408,14,2020-07-11,1.0
하이페리온2,155.586,25,2006,오목로 300,1272.6080752766957,14,2020-07-11,1.0
인왕산현대,84.9,3,2000,통일로34길 46,965.8421672555947,20,2020-07-11,1.0
유원문래,84.98,10,1991,문래북로 22,827.2534714050364,29,2020-07-11,0.16193269983758568
신도림3차푸르지오,82.8,11,2007,경인로 619-3,1002.4154589371981,13,2020-07-11,1.0
동아,84.72,6,2001,한천로11길 10-1,859.3012275731822,19,2020-07-11,1.0
삼성산주공(주공3단지),83.21,21,2000,호암로 399,719.865400793174,20,2020-07-11,1.0
동대문푸르지오시티(도시형생활주택),30.11,11,2016,왕산로 86,1311.8565260710727,4,2020-07-11,1.0
성원대치2단지아파트,33.18,4,1992,개포로109길 9,3013.863773357444,28,2020-07-11,0.5642349582180786
당산디오빌,33.09,4,2005,당산로 222,1172.5596857056512,15,2020-07-11,1.0
우성아파트,59.93,1,1998,서초대로74길 30,2336.0587351910563,22,2020-07-11,1.0
우성7,83.69,10,1987,개포로110길 15,2270.28318795555,33,2020-07-11,0.0
래미안위브,84.98,2,2014,답십리로 130,1303.8361967521769,6,2020-07-11,1.0
가양도시개발9-2단지,49.5,10,1993,허준로 234,1309.090909090909,27,2020-07-11,0.6686500527183217
삼정코아,83.74,13,2004,방화동로 126,567.2319082875567,16,2020-07-11,1.0
응암푸르지오,84.2,5,2008,백련산로 146,827.790973871734,12,2020-07-11,1.0
우국리더스빌,49.6,8,2006,동일로197길 85,745.9677419354839,14,2020-07-11,1.0
현대썬앤빌청계,14.82,13,2016,고미술로 71,944.6693657219973,4,2020-07-11,1.0
쌍용,59.99,4,2000,한천로58길 47,1100.1833638939822,20,2020-07-11,1.0
반포훼밀리빌,131.84,3,1993,고무래로10길 31,834.3446601941747,27,2020-07-11,0.09999999999999998
주공19단지(창동리버타운),59.39,1,1989,노해로70길 54,1094.4603468597406,31,2020-07-11,0.0
주공19단지(창동리버타운),84.9,4,1989,노해로70길 54,936.3957597173144,31,2020-07-11,0.0
대동,59.54,1,1999,뚝섬로31길 20,1343.6345314074572,21,2020-07-11,1.0
서울숲 한신 더 휴,84.95,17,2003,고산자로 164,1377.2807533843436,17,2020-07-11,1.0
쌍용,114.35,19,2000,한천로58길 47,682.1163095758636,20,2020-07-11,1.0
길음뉴타운4단지(e편한세상),84.64,12,2005,길음로 118,1098.7712665406427,15,2020-07-11,1.0
이편한세상금호파크힐스,59.983,14,2019,금호로 140,2117.266558858343,1,2020-07-11,1.0
풍림2,58.5,5,1990,세검정로1길 35,957.2649572649573,30,2020-07-11,0.0
롯데낙천대,80.2422,14,2003,여의대방로10길 38,1190.1468304707498,17,2020-07-11,1.0
래미안서초스위트,84.9571,4,2009,서운로 221,2412.9825523705495,11,2020-07-11,1.0
