단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,구,계약일자,계약년월,alpha,경도,위도
도곡렉슬,84.9984,16,2006,선릉로 221,7.147254073322617,6,강남구,2012-07-31,201207,0.8,127.049734781209,37.4942068396456
까치마을,39.6,15,1993,광평로19길 10,6.630123542383857,19,강남구,2012-08-01,201208,0.5811529169310906,127.086601738647,37.485485349127
도곡렉슬,59.9772,15,2006,선릉로 221,7.010992736640141,6,강남구,2012-08-01,201208,0.8,127.049734781209,37.4942068396456
도곡그린빌,56.39,2,1995,강남대로44길 24,6.362838519066254,17,강남구,2012-08-01,201208,0.43333333333333335,127.035782411318,37.4861495835495
강남상가,79.47,9,1974,압구정로2길 46,5.998111589829776,38,강남구,2012-08-01,201208,0.0,127.020691646267,37.5187672551656
현대삼성동1차,202.32,7,2005,삼성로120길 52-5,6.46543912707601,7,강남구,2012-08-01,201208,0.7666666666666666,127.054997718024,37.5190821558973
석탑아파트101동,84.6,17,1996,학동로 412,6.4951727031051085,16,강남구,2012-08-01,201208,0.4666666666666667,127.044965038614,37.51741540077
테헤란로대우아이빌(891-6),35.51,19,2004,테헤란로 428,6.63377779803147,8,강남구,2012-08-01,201208,0.7333333333333334,127.054183199967,37.5056919892348
브라운스톤,241.06,2,2005,학동로11길 13,5.911446902036939,7,강남구,2012-08-02,201208,0.7666666666666666,127.024589540174,37.5131384786986
은마,76.79,7,1980,삼성로 212,6.886832086595479,32,강남구,2012-08-02,201208,0.0,127.065915414443,37.4996157705058
한양4,101.09,3,1978,압구정로 313,6.891901713980718,34,강남구,2012-08-02,201208,0.0,127.03599584345,37.5298739327833
청담자이,89.356,26,2012,영동대로138길 12,7.263243252578941,0,강남구,2012-08-03,201208,1.0,127.057249781197,37.5241014728573
주공2,80.26,3,1983,선릉로 8,7.147456727427637,29,강남구,2012-08-03,201208,0.033333333333333326,127.064153382762,37.480057578933
은마,84.43,8,1980,삼성로 212,6.949169304778935,32,강남구,2012-08-04,201208,0.0,127.065915414443,37.4996157705058
개포주공7단지,73.26,2,1983,개포로 516,6.77262360499114,29,강남구,2012-08-04,201208,0.033333333333333326,127.070871480537,37.4891406792843
개포주공4단지,42.55,2,1982,삼성로 14,7.238841203977994,30,강남구,2012-08-04,201208,0.0,127.068451024326,37.4861548149371
삼성동신도브래뉴,102.957,6,2010,삼성로103길 12,6.570729259866701,2,강남구,2012-08-06,201208,0.9333333333333333,127.053410791714,37.5103690964957
미성1차,180.56,11,1982,압구정로11길 17,6.904648997363068,30,강남구,2012-08-06,201208,0.0,127.020161146724,37.5255813601835
개포주공1단지,50.38,2,1982,개포로 310,7.20766871323378,30,강남구,2012-08-07,201208,0.0,127.057847776427,37.4802867173431
성원대치2단지아파트,39.53,7,1992,개포로109길 9,6.814214340129653,20,강남구,2012-08-08,201208,0.5283208335737187,127.075101271591,37.4957518185981
래미안그레이튼(진달래2차),105.89,16,2011,도곡로43길 21,7.016039084005438,1,강남구,2012-08-08,201208,0.9666666666666667,127.047011616273,37.4957277729688
한보미도맨션2,126.33,8,1985,삼성로 150,7.006922349401611,27,강남구,2012-08-08,201208,0.09999999999999998,127.068564672209,37.4956953356085
삼성청담공원아파트,107.22,14,1999,도산대로96길 39,6.79199872806943,13,강남구,2012-08-08,201208,0.5666666666666667,127.050463180352,37.5230042633715
휴먼스타빌,35.905,19,2005,도산대로 454,6.88222677890927,7,강남구,2012-08-08,201208,1.0,127.046056275002,37.5236847892354
가람,75.16,4,1993,일원로 127,6.75324973754718,19,강남구,2012-08-08,201208,0.3666666666666667,127.085383839812,37.4831592916235
도곡스타클래스,112.75,7,2007,남부순환로 2615,6.402090005775456,5,강남구,2012-08-08,201208,0.8333333333333334,127.035883711966,37.4851852937745
성원대치2단지아파트,33.18,3,1992,개포로109길 9,6.663904532241321,20,강남구,2012-08-08,201208,0.5283208335737187,127.075101271591,37.4957518185981
푸른마을아파트101동~111동,84.93,11,1994,일원로14길 25,6.670620510581185,18,강남구,2012-08-10,201208,0.6339850002884625,127.080874756987,37.484761123247
삼성동힐스테이트 1단지,84.236,16,2008,학동로68길 29,7.047812414561325,4,강남구,2012-08-10,201208,0.8666666666666667,127.04718779295,37.5165602922999
